St_Name,Cluster
BOULDER / ALPINE ST1,9
BOULDER / ATRIUM ST1,1
BOULDER / BASELINE ST1,3
BOULDER / CARPENTER PARK1,14
BOULDER / CARPENTER PARK2,12
BOULDER / EAST REC,7
BOULDER / FACILITIES ST1,11
BOULDER / N BOULDER REC 1,15
BOULDER / REC CENTER ST1,2
BOULDER / REC CENTER ST2,18
BOULDER / VALMONT ST1,19
BOULDER / VALMONT ST2,13
COMM VITALITY / 1000WALNUT1,17
COMM VITALITY / 1000WALNUT2,4
COMM VITALITY / 1100WALNUT1,8
COMM VITALITY / 1104 SPRUCE1,5
COMM VITALITY / 1400 WALNUT1,20
COMM VITALITY / 1500PEARL1,6
COMM VITALITY / 1500PEARL2,16
COMM VITALITY / BOULDER JCTN,10
