St_Name,Cluster
BOULDER / ALPINE ST1,4
BOULDER / ATRIUM ST1,1
BOULDER / BASELINE ST1,2
BOULDER / CARPENTER PARK1,6
BOULDER / CARPENTER PARK2,6
BOULDER / EAST REC,3
BOULDER / FACILITIES ST1,5
BOULDER / N BOULDER REC 1,7
BOULDER / REC CENTER ST1,1
BOULDER / REC CENTER ST2,8
BOULDER / VALMONT ST1,8
BOULDER / VALMONT ST2,6
COMM VITALITY / 1000WALNUT1,7
COMM VITALITY / 1000WALNUT2,2
COMM VITALITY / 1100WALNUT1,3
COMM VITALITY / 1104 SPRUCE1,3
COMM VITALITY / 1400 WALNUT1,9
COMM VITALITY / 1500PEARL1,3
COMM VITALITY / 1500PEARL2,7
COMM VITALITY / BOULDER JCTN,4
